date,HR_prod,HR_demand,HR_inv,CR_prod,CR_demand,CR_inv,G_prod,G_demand,G_inv,auto_prod,auto_domestic_ship,auto_export_ship,construction_order_amt,appliance_prod_idx,appliance_ship_idx,usdkrw_avg,leading_idx,gov_bond_3y_avg,iron_ore_price,steel_capacity_idx,steel_operating_rate
2022-12,2806,1236,516,619,689,560,610,682,372,353372,131621,217721,11913011,81.6,78,"1,294.42",108.9,3.63,111.41,100.1,84.1
2023-01,2979,1294,545,737,699,592,752,718,381,307072,100973,198511,25700310,96,107.2,"1,245.34",108.9,3.63,122.43,100.6,91
2023-02,2871,1339,564,709,677,605,731,731,376,347683,125641,222926,14042413,99.5,107.3,"1,276.54",108.8,3.61,127.08,100.6,97.6
2023-03,3305,1483,610,763,765,596,806,805,374,409953,141437,262914,11882099,99.7,102.5,"1,305.40",109,3.64,127.98,100.6,104.1
2023-04,2906,1350,659,670,669,591,742,768,345,381070,129155,248868,11441454,98.5,97.5,"1,322.05",109,3.27,117.13,100.6,100.7
2023-05,3048,1485,671,727,700,614,728,694,375,382057,130923,247363,19352742,102.5,99.4,"1,327.93",109.5,3.34,104.52,100.6,101.6
2023-06,3223,1402,674,777,750,630,806,793,384,369762,134503,240118,13812020,94.9,94.4,"1,296.55",110.1,3.58,113.09,100.6,101.3
2023-07,3232,1397,665,781,776,628,842,790,430,352917,115313,229578,12085117,97.4,87.7,"1,283.22",110.8,3.62,113.98,100.5,98
2023-08,3161,1302,681,789,727,684,816,774,468,311907,107064,201070,10369696,101.3,104.8,"1,321.54",111,3.73,109.61,100.5,97.3
2023-09,2751,1279,605,642,704,637,797,813,448,301509,107149,196659,14178389,100.3,103.6,"1,331.73",111.3,3.88,120.43,100.5,95.4
2023-10,2935,1383,638,642,711,584,782,812,414,341161,117792,224979,15313893,95.9,93.3,"1,351.11",111.9,4.05,118.75,100.3,100.2
2023-11,2870,1370,641,603,637,546,720,777,354,370386,132722,244814,11096593,102.7,98,"1,308.01",112.3,3.74,131.25,100.3,96.1
2023-12,3156,1422,618,749,703,430,794,711,436,367599,114981,247219,18217171,100.4,96.1,"1,305.12",112.8,3.26,137.55,100.3,94.8
2024-01,3196,1425,804,771,746,455,851,843,444,358011,103355,243243,14382068,106.9,91.2,"1,325.67",113.2,3.29,136.59,99.5,98.9
2024-02,2945,1215,823,714,662,508,781,710,511,300499,99671,198733,15529487,106.6,101.8,"1,331.37",113.7,3.37,125.93,99.5,101.6
2024-03,3284,1401,913,785,792,500,855,852,508,365521,120806,246892,14639238,96.8,96,"1,331.63",113.9,3.34,110.19,99.5,98.3
2024-04,3005,1351,752,723,709,517,767,794,478,394363,119545,270711,17912602,106.4,96.7,"1,369.25",114.5,3.47,112.23,99.4,97.4
2024-05,2657,1300,728,690,683,530,704,750,426,372636,117128,255591,15973135,116.6,96.4,"1,365.05",114.8,3.43,119.24,99.4,92.1
2024-06,2957,1280,770,742,701,567,829,756,479,353788,112498,252341,19364030,106,94.3,"1,379.95",115.2,3.26,108.1,99.4,93.9
2024-07,3027,1327,727,751,723,597,724,667,436,290612,110556,200112,16387224,103.8,93.2,"1,383.37",115.4,3.11,107.39,99.3,93.2
2024-08,3276,1391,812,790,778,608,792,698,474,299649,106092,189893,14258379,104.6,92.2,"1,352.87",115.6,2.97,100.91,99,97.3
2024-09,2937,1339,679,722,719,614,701,671,450,307251,105948,205674,17120356,97,83.7,"1,332.76",115.9,2.91,96.24,99,95.5
2024-10,2939,1295,712,735,727,620,703,719,372,367584,124587,243483,15876341,101.9,84.6,"1,365.37",116.2,2.93,106.61,99,97.3
2024-11,3040,1408,719,682,721,578,692,636,383,344423,124096,224672,18271585,93.4,91.1,"1,394.32",116.5,2.94,103.98,99,96.9
2024-12,3031,1337,641,770,720,624,768,696,413,373143,119313,251701,15483411,109.8,92.1,"1,436.78",116.5,3.18,105.34,99,95.4
2025-01,3173,1373,689,797,734,684,816,747,475,290705,90849,199796,14690516,95.1,99.1,"1,455.50",116.5,3.25,103.78,99.1,94
2025-02,2705,1298,796,614,676,617,598,649,393,352045,112682,233082,14726030,98.7,101.4,"1,445.58",116.9,3.2,108.2,99.1,90
2025-03,3088,1454,789,667,670,607,723,697,354,370486,124383,240821,17204492,94.3,99.1,"1,457.92",117.6,3.14,103.65,99.1,91.6
2025-04,3090,1452,658,726,770,558,831,776,461,385676,129231,247193,15425522,91.5,89.9,"1,441.92",118.1,3.12,100.91,99.1,94.4
2025-05,3105,1394,667,699,722,531,797,768,457,359212,113743,246469,17349218,86.7,88.6,"1,390.70",118.6,3.08,100.27,99.1,93.8
2025-06,3087,1378,567,699,686,465,782,749,365,353540,118294,244430,17847329,85.2,85.2,"1,365.15",119.1,2.95,96.17,99.1,94.6
2025-07,3190,1371,648,752,707,576,866,800,352,316630,111531,212091,24157048,97.3,84.4,"1,376.92",120.1,2.92,101.22,99.1,93.8
2025-08,3021,1285,627,751,730,595,789,768,340,321030,111676,200253,22419136,87.1,83.7,"1,389.86",120.9,2.98,103.29,99.1,93.3
2025-09,3111,1416,589,751,751,591,792,744,199,334359,125300,228361,12642359,86.7,85.3,"1,392.38",121.2,3.02,106.41,99.1,94.9
2025-10,2967,1211,652,697,670,613,778,707,240,302720,103190,202904,12093912,75.7,75.2,"1,424.83",121.5,3.11,106.87,99.1,91.8
2025-11,2743,1307,523,570,647,533,673,730,384,354266,117068,236649,19355942,81.7,81.2,"1,460.44",122.2,2.94,106.23,99,89
2025-12,3033,1266,701,651,569,611,752,694,405,362814,116558,244878,17354093,80.4,73.1,"1,467.14",123.1,2.9,107.59,98.5,90.2
2026-01,3263,1457,688,770,729,647,825,738,462,360500,103554,246574,17416723,78.3,77.6,"1,456.28",124.2,3.01,107.45,98.4,94
2026-02,2814,1306,673,685,683,642,721,668,499,278250,96678,200597,19836565,67.9,71.9,"1,448.38",125.2,3.04,100.97,98.4,95.6
2026-03,2895,1365,637,736,711,603,743,725,517,387231,128758,259635,22472395,74,76.8,"1,492.50",126.4,3.17,107.58,98.4,94.4
2026-04,3026,1436,598,729,723,590,739,747,482,361926,118420,244402,21576185,74.5,72.3,"1,501.12",127.5,3.38,109.39,98.4,96.3
